PREFIXO: ;D4-044
NOME DO POSTO: ;CAMPINAS
MUNICÍPIO: ;CAMPINAS
CURSO D'ÁGUA: ;PIRACICABA,R
LATITUDE: ;22°52'17"
LONGITUDE: ;47°04'39"
 
Obs: valores com --- representam dados inexistentes.
 
Chuva Mensal (mm)
 
Ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
  1941;123,30;115,40;92,70;18,30;19,70;42,70;18,70;15,00;224,60;195,70;182,80;423,20
  1942;178,50;124,10;153,60;110,50;26,60;47,60;48,50;0,00;36,70;28,40;121,30;162,10
  1943;208,70;165,10;181,50;35,00;2,00;33,60;0,00;27,70;65,80;169,00;131,60;236,00
  1944;82,90;193,50;183,80;30,20;1,50;9,50;14,20;0,00;20,60;161,30;164,20;34,70
  1945;253,10;170,10;159,50;50,10;12,90;188,30;15,70;2,70;41,10;84,90;209,60;183,00
  1946;383,80;140,50;103,20;20,70;14,30;30,80;90,20;0,80;38,20;120,90;134,40;164,40
  1947;329,50;270,00;117,60;67,20;47,40;16,20;58,00;54,40;117,00;52,70;141,20;229,60
  1948;213,20;167,80;130,60;48,60;51,50;3,00;40,80;10,00;15,60;69,20;104,70;127,50
  1949;155,40;175,60;156,00;103,80;23,30;41,70;0,00;0,00;6,60;72,70;63,60;375,40
  1950;225,90;318,50;125,40;129,00;4,40;59,60;26,30;0,00;20,60;166,10;216,30;121,70
  1951;363,10;215,00;241,00;30,10;12,80;11,90;12,30;25,20;5,40;103,30;255,60;58,20
  1952;104,40;184,00;139,50;32,00;14,50;83,30;0,00;8,70;60,80;104,90;109,00;126,50
  1953;147,40;116,40;144,80;115,40;38,90;29,30;12,90;28,80;39,30;115,80;112,90;97,00
  1954;241,50;168,00;146,70;22,70;100,80;52,20;9,40;0,00;18,20;80,90;56,50;191,00
  1955;283,40;174,90;131,20;75,50;37,70;23,10;12,00;68,20;2,10;115,20;77,90;266,90
  1956;121,30;201,80;156,20;105,30;120,30;57,80;53,00;85,00;82,70;89,60;26,50;143,50
  1957;373,20;200,90;219,80;54,90;0,00;45,30;105,20;66,20;132,60;89,90;93,80;156,80
  1958;332,60;145,60;115,70;91,70;166,90;91,20;16,40;0,00;84,40;112,50;132,20;89,80
  1959;216,90;89,20;118,90;89,10;27,40;7,90;0,00;90,40;124,60;124,60;226,30;205,10
  1960;266,60;201,80;57,10;51,80;71,20;88,30;0,00;24,70;7,90;153,00;92,00;448,30
  1961;196,70;266,30;107,00;113,60;19,30;20,00;0,00;14,90;0,10;63,60;151,50;269,30
  1962;110,00;170,40;250,60;80,60;24,20;9,00;34,00;54,60;34,50;271,50;115,10;222,30
  1963;340,00;279,40;143,80;40,10;0,00;0,00;0,00;10,60;1,00;169,00;199,50;32,60
  1964;118,00;348,50;35,60;23,30;85,40;35,60;60,80;15,50;70,50;188,40;64,20;389,40
  1965;252,40;323,80;153,80;69,20;72,10;24,40;62,30;10,20;77,30;193,10;125,70;237,30
  1966;186,80;147,00;235,90;36,30;50,30;0,30;6,00;36,70;56,50;138,00;63,90;357,80
  1967;298,70;267,10;137,40;11,80;11,50;154,30;0,40;10,50;151,50;256,00;217,30;139,10
  1968;203,10;130,50;93,10;100,90;25,40;18,50;7,30;46,40;16,10;118,00;30,60;154,20
  1969;129,50;192,90;92,10;74,00;40,40;32,80;14,00;38,90;58,80;122,20;245,80;188,80
  1970;369,80;524,90;184,40;43,50;62,80;59,40;8,50;101,00;97,10;74,30;114,10;235,70
  1971;56,30;87,60;229,70;75,60;65,90;106,40;28,50;7,50;79,70;143,90;83,50;165,10
