"DateTime","Temperatura","Sensação Térmica"
"2025-04-06 21:00:00",18.8,19
"2025-04-06 22:00:00",18.5,18.7
"2025-04-06 23:00:00",18.3,18.5
"2025-04-07 00:00:00",17.6,17.9
"2025-04-07 01:00:00",17.5,17.7
"2025-04-07 02:00:00",17.3,17.6
"2025-04-07 03:00:00",17.1,17.4
"2025-04-07 04:00:00",17,17.4
"2025-04-07 05:00:00",17.1,17.4
"2025-04-07 06:00:00",17,17.3
"2025-04-07 07:00:00",17.5,17.5
"2025-04-07 08:00:00",19.4,19.2
"2025-04-07 09:00:00",21.9,21.3
"2025-04-07 10:00:00",23.9,23.1
"2025-04-07 11:00:00",25.6,24.6
"2025-04-07 12:00:00",26.6,25.4
"2025-04-07 13:00:00",27,26.3
"2025-04-07 14:00:00",27,26.2
"2025-04-07 15:00:00",26.9,25.3
"2025-04-07 16:00:00",26,24.4
"2025-04-07 17:00:00",24,22.3
"2025-04-07 18:00:00",21.5,19.8
"2025-04-07 19:00:00",19.6,18
"2025-04-07 20:00:00",18.5,16.9
"2025-04-07 21:00:00",17.7,16.1
"2025-04-07 22:00:00",17.2,15.6
"2025-04-07 23:00:00",16.8,15.2
"2025-04-08 00:00:00",16.6,15
"2025-04-08 01:00:00",16.3,14.9
"2025-04-08 02:00:00",15.9,14.8
"2025-04-08 03:00:00",15.6,14.8
"2025-04-08 04:00:00",15.4,14.9
"2025-04-08 05:00:00",15.2,14.8
"2025-04-08 06:00:00",15,14.6
"2025-04-08 07:00:00",16,14.8
"2025-04-08 08:00:00",19.2,17.9
"2025-04-08 09:00:00",22.1,20.8
"2025-04-08 10:00:00",24.5,23.4
"2025-04-08 11:00:00",26.1,25.2
"2025-04-08 12:00:00",27.2,26.7
"2025-04-08 13:00:00",27.9,27.2
"2025-04-08 14:00:00",28,27.2
"2025-04-08 15:00:00",28,27.2
"2025-04-08 16:00:00",27.9,27.2
"2025-04-08 17:00:00",27.2,26.8
"2025-04-08 18:00:00",23.9,23.4
"2025-04-08 19:00:00",23,22.5
"2025-04-08 20:00:00",22.8,22.2
"2025-04-08 21:00:00",22.2,21.4
"2025-04-08 22:00:00",21,20.5
"2025-04-08 23:00:00",20.3,20.1
"2025-04-09 00:00:00",20,19.7
"2025-04-09 01:00:00",20,19.4
"2025-04-09 02:00:00",20,19.5
"2025-04-09 03:00:00",20,19.4
"2025-04-09 04:00:00",20,19.5
"2025-04-09 05:00:00",20,19.4
"2025-04-09 06:00:00",20,19.4
"2025-04-09 07:00:00",20.4,20
"2025-04-09 08:00:00",21.9,21.3
"2025-04-09 09:00:00",25,24.4
"2025-04-09 10:00:00",27.2,27.1
"2025-04-09 11:00:00",28.4,27.9
"2025-04-09 12:00:00",28.9,28.1
"2025-04-09 13:00:00",29,28.2
"2025-04-09 14:00:00",28,27.4
"2025-04-09 15:00:00",28,27.6
"2025-04-09 16:00:00",25.1,25.2
"2025-04-09 17:00:00",24.4,24.3
"2025-04-09 18:00:00",22.9,22.7
"2025-04-09 19:00:00",21.9,22
"2025-04-09 20:00:00",21.5,21.5
"2025-04-09 21:00:00",20.6,20.5
"2025-04-09 22:00:00",20.1,20.2
"2025-04-09 23:00:00",19.5,19.3
"2025-04-10 00:00:00",19.3,18.9
"2025-04-10 01:00:00",18.9,18.8
"2025-04-10 02:00:00",18.4,17.8
"2025-04-10 03:00:00",18.3,17.6
"2025-04-10 04:00:00",18.4,17.8
"2025-04-10 05:00:00",18.3,17.5
"2025-04-10 06:00:00",18,17.1
"2025-04-10 07:00:00",18.8,18.5
"2025-04-10 08:00:00",21,20.8
"2025-04-10 09:00:00",23,22.8
"2025-04-10 10:00:00",24.9,24.7
"2025-04-10 11:00:00",26.7,27
"2025-04-10 12:00:00",27.8,27.9
"2025-04-10 13:00:00",28,28.1
"2025-04-10 14:00:00",27.1,27.6
"2025-04-10 15:00:00",26.1,26.3
"2025-04-10 16:00:00",25.6,25.7
"2025-04-10 17:00:00",24,24.2
"2025-04-10 18:00:00",22.1,22.2
"2025-04-10 19:00:00",20.5,20.8
"2025-04-10 20:00:00",19.9,20.1
"2025-04-10 21:00:00",19.2,19.4
"2025-04-10 22:00:00",18.6,18.8
"2025-04-10 23:00:00",18.1,18.5
"2025-04-11 00:00:00",17.7,18
"2025-04-11 01:00:00",17.4,17.5
"2025-04-11 02:00:00",16.8,17
"2025-04-11 03:00:00",16.3,16.5
"2025-04-11 04:00:00",16,16.2
"2025-04-11 05:00:00",16,16
"2025-04-11 06:00:00",16,16
"2025-04-11 07:00:00",16.5,16.7
"2025-04-11 08:00:00",18.7,18.9
"2025-04-11 09:00:00",21.1,21.3
"2025-04-11 10:00:00",23.2,23.3
"2025-04-11 11:00:00",25,25
"2025-04-11 12:00:00",26.7,27
"2025-04-11 13:00:00",27.8,27.6
"2025-04-11 14:00:00",28,27.6
"2025-04-11 15:00:00",26.5,26.9
"2025-04-11 16:00:00",25.7,25.9
"2025-04-11 17:00:00",24.9,25.1
"2025-04-11 18:00:00",23,23
"2025-04-11 19:00:00",21.4,21.5
"2025-04-11 20:00:00",20.3,20.6
"2025-04-11 21:00:00",19.7,20.1
"2025-04-11 22:00:00",19.2,19.6
"2025-04-11 23:00:00",18.7,19.1
"2025-04-12 00:00:00",18.5,18.8
"2025-04-12 01:00:00",18.2,18.6
"2025-04-12 02:00:00",17.9,18.2
"2025-04-12 03:00:00",17.6,18
"2025-04-12 04:00:00",17.4,17.8
"2025-04-12 05:00:00",17.1,17.5
"2025-04-12 06:00:00",17,17.1
"2025-04-12 07:00:00",17.5,17.5
